"Date","Price","Open","High","Low","Vol.","Change %"
"26-03-2024","3,877.50","3,875.00","3,946.70","3,871.45","3.44M","-0.85%"
"22-03-2024","3,910.90","3,897.00","3,938.00","3,855.00","5.85M","-1.56%"
"21-03-2024","3,972.95","3,990.05","4,008.40","3,948.00","3.83M","0.05%"
"20-03-2024","3,970.90","3,986.00","4,018.00","3,960.20","1.82M","-0.16%"
"19-03-2024","3,977.30","4,051.25","4,058.00","3,966.60","8.93M","-4.22%"
"18-03-2024","4,152.50","4,215.25","4,254.75","4,117.85","1.53M","-1.58%"
"15-03-2024","4,219.25","4,192.60","4,239.00","4,177.00","3.37M","0.28%"
"14-03-2024","4,207.60","4,153.45","4,225.00","4,086.00","2.92M","1.41%"
"13-03-2024","4,149.00","4,205.00","4,241.00","4,131.90","2.84M","-1.03%"
"12-03-2024","4,192.25","4,122.35","4,229.95","4,121.05","4.04M","1.70%"
"11-03-2024","4,122.35","4,089.00","4,153.00","4,089.00","2.30M","0.33%"
"07-03-2024","4,108.60","4,065.00","4,124.00","4,037.70","2.69M","1.09%"
"06-03-2024","4,064.30","3,994.05","4,072.00","3,958.45","1.74M","1.30%"
"05-03-2024","4,012.10","4,062.00","4,064.00","3,980.00","2.07M","-1.68%"
"04-03-2024","4,080.70","4,105.00","4,117.90","4,075.90","1.75M","-0.64%"
"02-03-2024","4,107.10","4,125.05","4,129.50","4,091.10","65.06K","0.31%"
"01-03-2024","4,094.35","4,107.20","4,140.00","4,086.80","2.04M","-0.02%"
"29-02-2024","4,095.10","4,099.00","4,138.10","4,064.55","3.77M","-0.58%"
"28-02-2024","4,118.95","4,095.60","4,154.90","4,089.00","1.94M","0.35%"
"27-02-2024","4,104.40","3,999.00","4,124.00","3,999.00","2.96M","2.58%"
"26-02-2024","4,001.05","4,036.00","4,050.00","3,982.75","1.38M","-1.26%"
"23-02-2024","4,052.10","4,130.00","4,130.00","4,046.40","2.54M","-0.86%"
"22-02-2024","4,087.10","3,971.00","4,094.95","3,971.00","2.98M","2.40%"
"21-02-2024","3,991.50","4,013.00","4,063.35","3,980.60","1.89M","-0.97%"
"20-02-2024","4,030.65","4,082.10","4,098.00","4,010.00","1.19M","-1.78%"
"19-02-2024","4,103.80","4,123.05","4,128.30","4,055.00","772.29K","-0.59%"
"16-02-2024","4,128.30","4,113.25","4,147.95","4,100.10","1.31M","0.61%"
"15-02-2024","4,103.20","4,128.00","4,146.30","4,083.00","1.09M","0.08%"
"14-02-2024","4,100.10","4,107.00","4,114.90","4,049.50","1.39M","-1.19%"
"13-02-2024","4,149.50","4,125.45","4,170.00","4,081.50","1.26M","0.70%"
"12-02-2024","4,120.70","4,130.00","4,159.60","4,105.55","1.01M","-0.31%"
"09-02-2024","4,133.70","4,136.55","4,184.75","4,100.00","2.10M","-0.01%"
"08-02-2024","4,134.10","4,090.00","4,158.00","4,086.05","2.35M","1.24%"
"07-02-2024","4,083.40","4,153.00","4,155.00","4,073.95","2.12M","-1.27%"
"06-02-2024","4,136.00","3,997.00","4,149.90","3,990.00","4.47M","4.09%"
